subjid activity parameter mean
1 LAYING fBodyAcc-mean()-X -0.9390990524
1 LAYING fBodyAcc-mean()-Y -0.86706520518
1 LAYING fBodyAcc-mean()-Z -0.8826668762000001
1 LAYING fBodyAcc-std()-X -0.9244374346
1 LAYING fBodyAcc-std()-Y -0.8336255561
1 LAYING fBodyAcc-std()-Z -0.81289155944
1 LAYING fBodyAccJerk-mean()-X -0.9570738838
1 LAYING fBodyAccJerk-mean()-Y -0.9224626097999999
1 LAYING fBodyAccJerk-mean()-Z -0.9480609042
1 LAYING fBodyAccJerk-std()-X -0.9641607086
1 LAYING fBodyAccJerk-std()-Y -0.9322178704
1 LAYING fBodyAccJerk-std()-Z -0.9605869872
1 LAYING fBodyAccMag-mean() -0.8617676481
1 LAYING fBodyAccMag-std() -0.7983009404
1 LAYING fBodyBodyAccJerkMag-mean() -0.9333003608
1 LAYING fBodyBodyAccJerkMag-std() -0.9218039756
1 LAYING fBodyBodyGyroJerkMag-mean() -0.9423669466
1 LAYING fBodyBodyGyroJerkMag-std() -0.9326606676
1 LAYING fBodyBodyGyroMag-mean() -0.8621901854
1 LAYING fBodyBodyGyroMag-std() -0.82431943968
1 LAYING fBodyGyro-mean()-X -0.850249174586
1 LAYING fBodyGyro-mean()-Y -0.9521914948
1 LAYING fBodyGyro-mean()-Z -0.909302721
1 LAYING fBodyGyro-std()-X -0.8822964508
1 LAYING fBodyGyro-std()-Y -0.9512320494
1 LAYING fBodyGyro-std()-Z -0.9165825082
1 LAYING tBodyAcc-mean()-X 0.22159824394
1 LAYING tBodyAcc-mean()-Y -0.0405139534294
1 LAYING tBodyAcc-mean()-Z -0.11320355358
1 LAYING tBodyAcc-std()-X -0.9280564692
1 LAYING tBodyAcc-std()-Y -0.83682740562
1 LAYING tBodyAcc-std()-Z -0.826061401628
1 LAYING tBodyAccJerk-mean()-X 0.0810865342
1 LAYING tBodyAccJerk-mean()-Y 0.0038382040088000002
1 LAYING tBodyAccJerk-mean()-Z 0.010834236361
1 LAYING tBodyAccJerk-std()-X -0.958482112
1 LAYING tBodyAccJerk-std()-Y -0.9241492736
1 LAYING tBodyAccJerk-std()-Z -0.9548551108
1 LAYING tBodyAccJerkMag-mean() -0.9543962646
1 LAYING tBodyAccJerkMag-std() -0.9282456284
1 LAYING tBodyAccMag-mean() -0.8419291525
1 LAYING tBodyAccMag-std() -0.79514486386
1 LAYING tBodyGyro-mean()-X -0.016553093978
1 LAYING tBodyGyro-mean()-Y -0.064486124088
1 LAYING tBodyGyro-mean()-Z 0.14868943626
1 LAYING tBodyGyro-std()-X -0.87354386782
1 LAYING tBodyGyro-std()-Y -0.9510904402
1 LAYING tBodyGyro-std()-Z -0.9082846626
1 LAYING tBodyGyroJerk-mean()-X -0.107270949192
1 LAYING tBodyGyroJerk-mean()-Y -0.04151728689
1 LAYING tBodyGyroJerk-mean()-Z -0.0740501211
1 LAYING tBodyGyroJerk-std()-X -0.9186085208
1 LAYING tBodyGyroJerk-std()-Y -0.9679072436
1 LAYING tBodyGyroJerk-std()-Z -0.9577901596
1 LAYING tBodyGyroJerkMag-mean() -0.96346103
1 LAYING tBodyGyroJerkMag-std() -0.9358409827999999
1 LAYING tBodyGyroMag-mean() -0.874759548
1 LAYING tBodyGyroMag-std() -0.81901016976
1 LAYING tGravityAcc-mean()-X -0.24888179828
1 LAYING tGravityAcc-mean()-Y 0.70554977346
1 LAYING tGravityAcc-mean()-Z 0.4458177198
1 LAYING tGravityAcc-std()-X -0.8968300184
1 LAYING tGravityAcc-std()-Y -0.90772000676
1 LAYING tGravityAcc-std()-Z -0.85236629022
1 LAYING tGravityAccMag-mean() -0.8419291525
1 LAYING tGravityAccMag-std() -0.79514486386
1 SITTING fBodyAcc-mean()-X -0.9796412387234043
1 SITTING fBodyAcc-mean()-Y -0.944084550425532
1 SITTING fBodyAcc-mean()-Z -0.9591848891489362
1 SITTING fBodyAcc-std()-X -0.9764123131914894
1 SITTING fBodyAcc-std()-Y -0.9172750063829788
1 SITTING fBodyAcc-std()-Z -0.9344695580851063
1 SITTING fBodyAccJerk-mean()-X -0.9865970225531915
1 SITTING fBodyAccJerk-mean()-Y -0.9815794670212766
1 SITTING fBodyAccJerk-mean()-Z -0.9860530923404255
1 SITTING fBodyAccJerk-std()-X -0.9874929944680851
1 SITTING fBodyAccJerk-std()-Y -0.982513909574468
1 SITTING fBodyAccJerk-std()-Z -0.988339184893617
1 SITTING fBodyAccMag-mean() -0.9477829225531915
1 SITTING fBodyAccMag-std() -0.9284448017021276
1 SITTING fBodyBodyAccJerkMag-mean() -0.9852621268085107
1 SITTING fBodyBodyAccJerkMag-std() -0.9816061774468084
1 SITTING fBodyBodyGyroJerkMag-mean() -0.9897975472340426
1 SITTING fBodyBodyGyroJerkMag-std() -0.9870496172340426
1 SITTING fBodyBodyGyroMag-mean() -0.9584355893617021
1 SITTING fBodyBodyGyroMag-std() -0.932198374893617
1 SITTING fBodyGyro-mean()-X -0.9761614640425532
1 SITTING fBodyGyro-mean()-Y -0.9758385853191489
1 SITTING fBodyGyro-mean()-Z -0.9513155444680851
1 SITTING fBodyGyro-std()-X -0.9779042270212766
1 SITTING fBodyGyro-std()-Y -0.9623450425531915
1 SITTING fBodyGyro-std()-Z -0.9439178410638298
1 SITTING tBodyAcc-mean()-X 0.2612375654255319
1 SITTING tBodyAcc-mean()-Y -0.001308287651702128
1 SITTING tBodyAcc-mean()-Z -0.10454418225531915
1 SITTING tBodyAcc-std()-X -0.9772290082978723
1 SITTING tBodyAcc-std()-Y -0.9226186419148936
1 SITTING tBodyAcc-std()-Z -0.9395862910638297
1 SITTING tBodyAccJerk-mean()-X 0.0774825199574468
1 SITTING tBodyAccJerk-mean()-Y -6.191027851063836e-4
1 SITTING tBodyAccJerk-mean()-Z -0.0033677923502127664
1 SITTING tBodyAccJerk-std()-X -0.9864307112765958
1 SITTING tBodyAccJerk-std()-Y -0.9813719653191489
1 SITTING tBodyAccJerk-std()-Z -0.9879108044680851
1 SITTING tBodyAccJerkMag-mean() -0.9873641955319149
1 SITTING tBodyAccJerkMag-std() -0.9841200240425532
1 SITTING tBodyAccMag-mean() -0.9485367861702128
1 SITTING tBodyAccMag-std() -0.9270784187234042
1 SITTING tBodyGyro-mean()-X -0.04535005651276596
1 SITTING tBodyGyro-mean()-Y -0.0919241549361702
1 SITTING tBodyGyro-mean()-Z 0.06293138119148936
1 SITTING tBodyGyro-std()-X -0.9772112831914893
1 SITTING tBodyGyro-std()-Y -0.966473895319149
1 SITTING tBodyGyro-std()-Z -0.9414259208510638
1 SITTING tBodyGyroJerk-mean()-X -0.09367938072340426
1 SITTING tBodyGyroJerk-mean()-Y -0.040211812425531915
1 SITTING tBodyGyroJerk-mean()-Z -0.046702627
1 SITTING tBodyGyroJerk-std()-X -0.9917315921276596
1 SITTING tBodyGyroJerk-std()-Y -0.9895180685106383
1 SITTING tBodyGyroJerk-std()-Z -0.9879358063829787
1 SITTING tBodyGyroJerkMag-mean() -0.9919763412765957
1 SITTING tBodyGyroJerkMag-std() -0.9883087285106383
1 SITTING tBodyGyroMag-mean() -0.93089249
1 SITTING tBodyGyroMag-std() -0.934531840425532
1 SITTING tGravityAcc-mean()-X 0.8315099334042553
1 SITTING tGravityAcc-mean()-Y 0.20441159268085107
1 SITTING tGravityAcc-mean()-Z 0.33204370276595746
1 SITTING tGravityAcc-std()-X -0.9684571457446809
1 SITTING tGravityAcc-std()-Y -0.9355170559574468
1 SITTING tGravityAcc-std()-Z -0.9490409331914894
1 SITTING tGravityAccMag-mean() -0.9485367861702128
1 SITTING tGravityAccMag-std() -0.9270784187234042
1 STANDING fBodyAcc-mean()-X -0.9952499326415094
1 STANDING fBodyAcc-mean()-Y -0.9770708477358491
1 STANDING fBodyAcc-mean()-Z -0.9852970986792453
1 STANDING fBodyAcc-std()-X -0.9960283450943396
1 STANDING fBodyAcc-std()-Y -0.9722931020754717
1 STANDING fBodyAcc-std()-Z -0.9779372596226416
1 STANDING fBodyAccJerk-mean()-X -0.9946307973584906
1 STANDING fBodyAccJerk-mean()-Y -0.9854187045283019
1 STANDING fBodyAccJerk-mean()-Z -0.9907521660377359
1 STANDING fBodyAccJerk-std()-X -0.9950737592452831
1 STANDING fBodyAccJerk-std()-Y -0.9870182267924529
